name,slug,district_slug,address,latitude,longitude,phone,rating_avg,rating_count,type_slug,source_name,external_id
M3 Gaming Club,m3-gaming-club,xatai,"9WXX+66V, Bakı",40.3980625,49.9480625,,4.0,7,pc,Google Business Profile,ChIJf8S_NwBjMEARt84yVpEd1dM
OLIGARCH_PS_NERIMANOV,oligarch-ps-nerimanov,narimanov,"Mirzəbala Əhmədzadə küçəsi, Bakı AZ1033",,,+994 50 440 49 49,4.1,12,playstation,Google Business Profile,ChIJB8kSEkh9MEARYoed3HeOmks
Nova Bizon Cyber,nova-bizon-cyber,nasimi,"Bülbül prospekti 36, Bakı 1000",,,+994 10 303 36 38,5.0,6,pc,Google Business Profile,ChIJcynYGYN9MEARMk2xM7ySxHM
FF Gaming,ff-gaming,binaqadi,"CR9Q+XJ8, Bakı",40.4199375,49.8390625,+994 50 820 20 72,,0,pc,Google Business Profile,ChIJ7dNFJgCHMEARHL2lZIXvu-c
BUNKER,bunker-mazahir-rustamov,nizami,"Məzahir Rüstəmov küçəsi 21, Bakı",,,,4.0,2,pc,Google Business Profile,ChIJZ3IwZgBjMEARd7BGQUg5Xrk
ButaCyberCafe,butacybercafe,narimanov,"Həsənoğlu küçəsi, 9VX9+98P, Bakı",40.3984375,49.8683125,+994 55 703 17 03,5.0,11,pc,Google Business Profile,ChIJz6zdTAB9MEARYdllxrJ_KrQ
COLIZEUM Baku,colizeum-baku,yasamal,"Zahid Xəlilov küçəsi 79B, Bakı",,,+994 70 535 44 44,4.1,35,pc,Google Business Profile,ChIJCzWmjkd9MEARUkBmnAXOcxg
Yasamal Playstation,yasamal-playstation,yasamal,"Murad Mirzəyev küçəsi, 9QWV+42V, Bakı",40.3953125,49.7925625,+994 55 824 07 74,,0,playstation,Google Business Profile,ChIJEeXCcZGHMEAR0smhcwSGuU8
Fora Playstation - Yeni Yasamal,fora-playstation-yeni-yasamal,yasamal,"Əsəd Əhmədov küçəsi, döngə 5, Bakı 1113",,,+994 99 797 32 31,4.8,4,playstation,Google Business Profile,ChIJGbD1zveHMEARDRZnmufpRjw
Baku City Game Zone,baku-city-game-zone,yasamal,"Abbas Mirzə Şərifzadə küçəsi 74, İnşaatçılar, Bakı 1100",,,+994 70 490 91 90,,0,pc,Google Business Profile,ChIJaQaKzyN9MEARZbeHLgEyFZI
